market_id,app_id,app,downloads,price,average_score,in_app_purchases,group,nest,market_share,num_apps_category
United States 2019,com.marmalade.golv,THE GAME OF LIFE Vacations,3320,2.6421475325189103,4.3000002,FALSE,GAME_BOARD,GAME2,1.3203892762119145e-5,21
United States 2019,com.asmodeedigital.carcassonne,Carcassonne: Official Board Game -Tiles & Tactics,100000,5.409261328278676,4.3000002,TRUE,GAME_BOARD,GAME2,3.977076133168417e-4,21
United States 2019,com.daysofwonder.tt.android,Ticket to Ride,262500,7.041263341884222,3.5999999,TRUE,GAME_BOARD,GAME2,0.0010439824849567095,21
United States 2019,com.handelabra.Sentinels,Sentinels of the Multiverse,23060,1.168249660042873,4.5,TRUE,GAME_BOARD,GAME2,9.17113756308637e-5,21
United States 2019,com.marmalade.golmobile,The Game of Life,564840,3.4599303438720788,4.1999998,TRUE,GAME_BOARD,GAME2,0.002246411683058849,21
United States 2019,com.czechgames.tta,Through the Ages,50000,10.16854462475834,4.8000002,TRUE,GAME_BOARD,GAME2,1.9885380665842086e-4,21
United States 2019,com.youdagames.stratego,StrategoÂ® Single Player,14220,2.173515535949025,3.7,TRUE,GAME_BOARD,GAME2,5.6554022613654894e-5,21
United States 2019,com.daysofwonder.Splendor.gp,Splendor,100000,5.614254670953649,3.9000001,TRUE,GAME_BOARD,GAME2,3.977076133168417e-4,21
United States 2019,uk.co.aifactory.chess,Chess,141500,3.035561639990684,4.8000002,FALSE,GAME_BOARD,GAME2,5.62756272843331e-4,21
United States 2019,com.f2zentertainment.pandemic,Pandemic: The Board Game,100000,5.697628438726092,4.4000001,TRUE,GAME_BOARD,GAME2,3.977076133168417e-4,21
United States 2019,com.marmalade.cluedogame,Clue,539660,4.233690752283101,4.4000001,TRUE,GAME_BOARD,GAME2,0.002146268906025668,21
United States 2019,com.deckedbuilder.deckedbuilder,Decked Builder,87800,4.9246704909276975,3.9000001,TRUE,GAME_BOARD,GAME2,3.49187284492187e-4,21
